,on_trip_count,money_spent,taxi_free_rate,average_decline_rate,waiting_customers,highest_decline_rate,no_response_call,lowest_decline_rate,total_call,averange_speed,no_response_rate,finished_count,average_waiting_time
315,341.0,8649663763.74,"(3187.0, 0.79675)",0.0,"(472, 0)",0.0,279.0,0.0,1590.0,10.1433208908,0.175471698113,498.0,2738.24561404
316,341.0,8649663837.46,"(3184.0, 0.796)",0.0,"(475, 0)",0.0,280.0,0.0,1595.0,10.0047229045,0.175548589342,499.0,2740.43859649
317,344.0,8649663928.62,"(3179.0, 0.79475)",0.0,"(477, 0)",0.0,280.0,0.0,1600.0,9.78938488571,0.175,499.0,2757.95652174
318,346.0,8649663987.73,"(3176.0, 0.794)",0.0,"(478, 0)",0.0,281.0,0.0,1605.0,9.72997329021,0.17507788162,500.0,2772.14697406
319,345.0,8649664037.5,"(3176.0, 0.794)",0.0,"(479, 0)",0.0,283.0,0.0,1610.0,9.74472844712,0.175776397516,503.0,2773.65606936
320,346.0,8649664097.91,"(3173.0, 0.79325)",0.0,"(481, 0)",0.0,284.0,0.0,1615.0,9.7853464796,0.175851393189,504.0,2780.9221902
321,348.0,8649664175.69,"(3170.0, 0.7925)",0.0,"(482, 0)",0.0,285.0,0.0,1620.0,9.62658114362,0.175925925926,505.0,2793.8252149
322,349.0,8649664215.34,"(3168.0, 0.792)",0.0,"(483, 0)",0.0,287.0,0.0,1625.0,9.94267566851,0.176615384615,506.0,2802.21428571
323,349.0,8649664318.46,"(3164.0, 0.791)",0.0,"(487, 0)",0.0,287.0,0.0,1630.0,9.90490608006,0.176073619632,507.0,2803.32857143
324,349.0,8649664397.11,"(3161.0, 0.79025)",0.0,"(490, 0)",0.0,288.0,0.0,1635.0,9.56712676925,0.176146788991,508.0,2805.0
325,349.0,8649664472.41,"(3161.0, 0.79025)",0.0,"(490, 0)",0.0,289.0,0.0,1640.0,9.8084994518,0.176219512195,512.0,2809.24285714
326,352.0,8649664568.74,"(3157.0, 0.78925)",0.0,"(491, 0)",0.0,290.0,0.0,1645.0,9.75134538848,0.176291793313,512.0,2826.92634561
327,353.0,8649664701.61,"(3153.0, 0.78825)",0.0,"(494, 0)",0.0,291.0,0.0,1650.0,9.73455927718,0.176363636364,512.0,2832.79661017
328,356.0,8649664856.47,"(3148.0, 0.787)",0.0,"(496, 0)",0.0,291.0,0.0,1655.0,9.56504623712,0.17583081571,512.0,2850.33613445
329,356.0,8649664927.57,"(3145.0, 0.78625)",0.0,"(499, 0)",0.0,292.0,0.0,1660.0,9.52605148086,0.175903614458,513.0,2851.55462185
330,357.0,8649665021.57,"(3142.0, 0.7855)",0.0,"(501, 0)",0.0,292.0,0.0,1665.0,9.34006430217,0.175375375375,515.0,2861.43854749
331,354.0,8649665099.44,"(3141.0, 0.78525)",0.0,"(505, 0)",0.0,293.0,0.0,1670.0,9.21996533609,0.175449101796,518.0,2849.78873239
332,354.0,8649665158.34,"(3139.0, 0.78475)",0.0,"(507, 0)",0.0,295.0,0.0,1675.0,9.36142802515,0.176119402985,519.0,2851.30985915
